 0.73375E+01  0.23111E+01  0.68486E+01  0.41447E+01 00002 00491 00036 00002 00002 00002 00002 00002 00037 00034 00017 00018 00021 00003 00010 00026 00173 00102 00095 00055 00149 00081 00055 00129 00096 00096 00096 00096 00096 00102 00096 00178 0000000260 1561458130 000000031
 0.41624E+01  0.14312E+01  0.14310E+01  0.32800E+01 00001 00260 00116 00003 00001 00001 00003 00003 00077 00077 00018 00020 00045 00003 00009 00029 00054 00104 00097 00158 00127 00066 00051 00234 00097 00097 00098 00097 00097 00102 00097 00183 0000000571 1561458441 000000070
 0.69212E+01  0.64815E+01  0.59290E+01  0.65849E+01 00002 00249 00062 00001 00001 00002 00002 00001 00105 00092 00057 00074 00062 00006 00044 00050 00075 00104 00098 00059 00060 00182 00068 00054 00095 00095 00095 00095 00095 00095 00095 00095 0000000751 1561458621 000000092
 0.49368E+01  0.74608E+01  0.48642E+01  0.74623E+01 00002 00448 00029 00001 00002 00001 00001 00002 00007 00004 00006 00009 00005 00003 00004 00029 00101 00105 00099 00063 00058 00060 00055 00152 00164 00096 00188 00173 00096 00172 00095 00182 0000000945 1561458815 000000115
 0.43636E+01  0.17263E+01  0.47391E+01  0.36755E+01 00001 00169 00063 00001 00001 00002 00001 00001 00043 00036 00016 00020 00023 00004 00010 00031 00074 00104 00098 00096 00103 00052 00059 00059 00094 00094 00094 00094 00094 00100 00094 00255 0000000958 1561458828 000000117
 0.19686E+01  0.44770E+01  0.21427E+01  0.38594E+01 00005 00359 00058 00001 00001 00001 00002 00001 00056 00054 00013 00023 00037 00002 00016 00027 00097 00102 00095 00071 00066 00096 00190 00117 00094 00094 00094 00094 00094 00095 00094 00177 0000001101 1561458971 000000135
 0.48525E+01  0.90417E+01  0.42592E+01  0.85527E+01 00002 00157 00027 00002 00002 00003 00002 00002 00008 00009 00007 00004 00007 00002 00004 00031 00169 00103 00097 00234 00051 00160 00226 00136 00094 00094 00168 00167 00094 00051 00094 00162 0000001144 1561459014 000000141
 0.29712E+01  0.87604E+01  0.39956E+01  0.78650E+01 00008 00439 00044 00002 00001 00001 00002 00002 00018 00021 00006 00007 00012 00003 00007 00130 00101 00105 00099 00172 00076 00066 00249 00063 00097 00097 00171 00170 00097 00180 00097 00096 0000001149 1561459019 000000142
 0.62436E+01  0.51546E+01  0.68970E+01  0.60716E+01 00452 00306 00080 00001 00001 00001 00002 00002 00038 00026 00037 00037 00026 00010 00037 00088 00100 00103 00097 00110 00058 00058 00181 00103 00097 00097 00097 00097 00097 00101 00099 00099 0000001195 1561459065 000000148
 0.11186E+01  0.58080E+01  0.18439E+01  0.49412E+01 00002 00237 00068 00002 00002 00001 00001 00001 00021 00024 00008 00007 00379 00002 00007 00030 00220 00102 00095 00095 00073 00096 00054 00070 00097 00097 00157 00174 00124 00096 00097 00165 0000001580 1561459450 000000195
 0.34166E+01  0.89345E+01  0.34008E+01  0.84098E+01 00013 00246 00061 00003 00002 00002 00002 00002 00051 00045 00026 00036 00030 00005 00021 00022 00098 00102 00096 00133 00178 00123 00215 00216 00094 00094 00094 00094 00094 00094 00094 00163 0000001739 1561459609 000000214
